run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.test_precision-camera8,metrics.test_precision-PUC,metrics.test_acc-PUC,metrics.test_acc-camera3,metrics.test_precision-UFPR04,metrics.test_precision-camera7,metrics.test_acc-camera7,metrics.test_acc-UFPR05,metrics.test_acc-camera1,metrics.test_acc-camera4,metrics.test_f1-camera3,metrics.test_f1-camera2,metrics.test_precision-camera6,metrics.test_precision-camera9,metrics.train_loss,metrics.test_precision-camera4,metrics.val_loss,metrics.test_precision-camera2,metrics.test_f1-camera6,metrics.test_f1-camera5,metrics.test_f1-camera7,metrics.test_f1-UFPR04,metrics.test_acc-camera2,metrics.train_acc,metrics.test_precision-camera1,metrics.test_f1-camera4,metrics.test_acc-camera8,metrics.test_f1-camera1,metrics.test_f1-PUC,metrics.test_acc-camera6,metrics.test_acc-camera5,metrics.test_f1-camera9,metrics.test_acc-camera9,metrics.test_f1-UFPR05,metrics.test_precision-UFPR05,metrics.test_f1-camera8,metrics.test_acc-UFPR04,metrics.test_precision-camera3,metrics.test_precision-camera5,metrics.val_acc,params.dataset_classifier,params.lr,params.epochs,params.model,params.encoder_dataset,params.loss,params.input_shape,params.n_images_to_train,tags.mlflow.source.git.commit,tags.mlflow.user,tags.mlflow.source.name,tags.mlflow.runName,tags.mlflow.source.type
25d7ff9a292f424e85ef76db345bec4a,40,FINISHED,/home/lucas.ocunha/mlruns/40/25d7ff9a292f424e85ef76db345bec4a/artifacts,2026-02-01 01:52:37.923000+00:00,2026-02-01 01:58:04.127000+00:00,0.9303695768612747,0.7673624099149647,0.8082188612922622,0.8771121351766513,0.6746761548295673,0.8503797915562622,0.8974046140195209,0.6643251716930427,0.8211395540875309,0.9123574441493517,0.8885793871866295,0.8599605522682445,0.9065185495703207,0.8942814145974417,0.03293921962904278,0.8567818028643639,0.011335568051435985,0.7582608695652174,0.9442200633118655,0.9128485511208311,0.9123471998483843,0.7807495209660889,0.8390022675736961,0.984375,0.7337126600284495,0.9158036920306168,0.9501350308641975,0.8264701169684345,0.8226399760468797,0.941047531149054,0.9124945103205973,0.9354584809130264,0.9341894060995185,0.5964805226271346,0.6309324929759283,0.9527379102294542,0.7160287191799797,0.8377100840336135,0.8734044779242519,1.0,camera9,0.001,20,Encoder1_Classifier,CNR,CrossEntropy,3x128x128,1024,b5b8e8140be24f4111bf68ae6513c975a31b17d1,lucas.ocunha,train_classifier.py,Encoder1_Classifier_camera9_1024,LOCAL
622037be90984208a9d933f47f3d6b20,40,FINISHED,/home/lucas.ocunha/mlruns/40/622037be90984208a9d933f47f3d6b20/artifacts,2026-02-01 01:47:12.270000+00:00,2026-02-01 01:52:34.909000+00:00,0.8779050185247558,0.7505695186167233,0.8086148883030387,0.8608294930875576,0.6415490386955464,0.8119513841998649,0.8673469387755102,0.6492759032547029,0.7864574731626754,0.8845492891735667,0.8764657758385601,0.85546875,0.8731854838709677,0.8585895117540687,0.05171777724171989,0.8158246458166266,0.002654252661159262,0.7487179487179487,0.9264171122994652,0.873512836568566,0.8894230769230769,0.7463415497319201,0.8321995464852607,0.974609375,0.6942260775277853,0.892006429928394,0.918016975308642,0.7984411535463757,0.8292643930114113,0.9206275957544993,0.8669301712779973,0.915012526498362,0.9115168539325843,0.596618958900346,0.6020411699473246,0.9246186590989712,0.6690599316649737,0.8112064613831398,0.8023389570552147,1.0,camera9,0.001,20,Encoder1_Classifier,CNR,CrossEntropy,3x128x128,512,b5b8e8140be24f4111bf68ae6513c975a31b17d1,lucas.ocunha,train_classifier.py,Encoder1_Classifier_camera9_512,LOCAL
4f15cc5dac10424db5b5e20bdccb80f1,40,FINISHED,/home/lucas.ocunha/mlruns/40/4f15cc5dac10424db5b5e20bdccb80f1/artifacts,2026-02-01 01:41:44.413000+00:00,2026-02-01 01:47:09.244000+00:00,0.8145849495733126,0.6668605582391273,0.7271605152398132,0.8242703533026113,0.6212801684502313,0.7459876543209877,0.8110026619343389,0.6510525530008958,0.7227085053674649,0.8219028276831745,0.848356309650053,0.8283796740172579,0.8063794068270845,0.7901315789473684,0.05313588283024728,0.7361579200770342,0.1386462189257145,0.7152317880794702,0.8866782894062147,0.8201308505284348,0.8501582835033415,0.7622527980117562,0.7970521541950113,0.97265625,0.6267247639796659,0.8428886438809261,0.8762538580246914,0.7551407320985853,0.7702437896325507,0.8725196123673281,0.8037988581466843,0.8792093704245973,0.8675762439807384,0.657518188278909,0.5772951832029641,0.891114317236697,0.6643157262905162,0.7670182166826462,0.7315496498473694,0.96875,camera9,0.001,20,Encoder1_Classifier,CNR,CrossEntropy,3x128x128,256,b5b8e8140be24f4111bf68ae6513c975a31b17d1,lucas.ocunha,train_classifier.py,Encoder1_Classifier_camera9_256,LOCAL
82ac81f085ee4f6e91212f8a1766f60c,40,FINISHED,/home/lucas.ocunha/mlruns/40/82ac81f085ee4f6e91212f8a1766f60c/artifacts,2026-02-01 01:36:21.197000+00:00,2026-02-01 01:41:41.287000+00:00,0.7864881131507674,0.6128967043027159,0.6694041672448083,0.78678955453149,0.5862228617906525,0.7359507313317937,0.797360248447205,0.5460361301881158,0.6731626754748142,0.7690985783471332,0.8219599794766547,0.8279158699808795,0.7622748145531614,0.7615556263946446,0.05466774711385369,0.6823899371069182,0.0886748842895031,0.71334431630972,0.8587345801830482,0.8344594594594594,0.8395538772284183,0.7366211467251587,0.7959183673469388,0.9765625,0.5883605393896381,0.8043420704262643,0.8524305555555556,0.7153746584208256,0.7375257907045596,0.8361790493770189,0.8170838823012736,0.8591979859737457,0.8428972712680578,0.6002800070987715,0.48901240120799333,0.8723297730307076,0.6132953181272509,0.7242314647377939,0.7369252369252369,0.96875,camera9,0.001,20,Encoder1_Classifier,CNR,CrossEntropy,3x128x128,128,b5b8e8140be24f4111bf68ae6513c975a31b17d1,lucas.ocunha,train_classifier.py,Encoder1_Classifier_camera9_128,LOCAL
21e013d2beb2482892a81cd04851c91f,40,FINISHED,/home/lucas.ocunha/mlruns/40/21e013d2beb2482892a81cd04851c91f/artifacts,2026-02-01 01:31:03.626000+00:00,2026-02-01 01:36:18.289000+00:00,0.782570881892503,0.6300945131078134,0.6741622727903427,0.6817204301075269,0.586509627776998,0.7617760617760618,0.7582076308784383,0.4148029262466408,0.5900908340214699,0.7855022652710514,0.7073446327683616,0.6989374262101535,0.772366220735786,0.7325875135330205,0.053974296897649765,0.7371742112482853,0.09311573579907417,0.7254901960784313,0.8055373882712012,0.7858719646799117,0.783558379666402,0.7316094835613495,0.7108843537414966,0.984375,0.546815042210284,0.7965021491033052,0.7985146604938271,0.5345086271567892,0.7233135897140079,0.7941855099215506,0.7870004391743523,0.7815206929740135,0.7722712680577849,0.44145832294286547,0.3796940876556525,0.811581131054388,0.6107327546403176,0.6752966558791802,0.7584149978696207,0.953125,camera9,0.001,20,Encoder1_Classifier,CNR,CrossEntropy,3x128x128,64,b5b8e8140be24f4111bf68ae6513c975a31b17d1,lucas.ocunha,train_classifier.py,Encoder1_Classifier_camera9_64,LOCAL
7b7b03958486464dadf93970212d2194,40,FINISHED,/home/lucas.ocunha/mlruns/40/7b7b03958486464dadf93970212d2194/artifacts,2026-02-01 01:25:28.895000+00:00,2026-02-01 01:31:00.502000+00:00,0.9297652916073968,0.8026867645114373,0.829164932241802,0.8881720430107527,0.782470938322879,0.8409170458522927,0.8895297249334516,0.6400567333532398,0.7846407927332782,0.9187626933291673,0.8976953344575604,0.9077568134171907,0.9233412067854843,0.8564121300694191,0.022902698488678652,0.8744199535962877,0.030634966678917408,0.8407766990291262,0.9505913562506908,0.9084680441066267,0.906090891947954,0.7777174896002894,0.9002267573696145,0.9921875,0.6814701378254211,0.9206106870229007,0.9513888888888888,0.8037326911499096,0.8370312767142629,0.9484310106137517,0.9061264822134387,0.9083510947490796,0.9050963081861958,0.6189685963997281,0.5777679427601977,0.9540229885057471,0.7588304552590267,0.8530982905982906,0.8528643216080402,0.984375,camera8,0.001,20,Encoder1_Classifier,CNR,CrossEntropy,3x128x128,1024,b5b8e8140be24f4111bf68ae6513c975a31b17d1,lucas.ocunha,train_classifier.py,Encoder1_Classifier_camera8_1024,LOCAL
61aaa28f90ba431fb9901cc729585325,40,FINISHED,/home/lucas.ocunha/mlruns/40/61aaa28f90ba431fb9901cc729585325/artifacts,2026-02-01 01:20:02.635000+00:00,2026-02-01 01:25:25.969000+00:00,0.8883830719946046,0.7709163834993111,0.8177235095508996,0.8626728110599078,0.6540828229804607,0.8164610444482001,0.8727817213842058,0.6132128993729471,0.7235342691990091,0.8539290735822528,0.8777686628383922,0.8362235067437379,0.8821014050091631,0.7970380343318748,0.01839795499563479,0.7786063255335561,0.01854841411113739,0.7245409015025042,0.9315127405655306,0.8829479768786127,0.8938847256915533,0.7743177228081684,0.8072562358276644,0.99609375,0.6218721037998146,0.8662566156486912,0.9294945987654321,0.7622834422039193,0.8329651233635849,0.9265113059529303,0.8754940711462451,0.8778498609823912,0.867776886035313,0.6263826596097547,0.5434616683975426,0.9351317774425415,0.6981715763228368,0.8143074581430746,0.8036452461480647,1.0,camera8,0.001,20,Encoder1_Classifier,CNR,CrossEntropy,3x128x128,512,b5b8e8140be24f4111bf68ae6513c975a31b17d1,lucas.ocunha,train_classifier.py,Encoder1_Classifier_camera8_512,LOCAL
e46d617a57bc4c33b0aa1641c9dbcc0a,40,FINISHED,/home/lucas.ocunha/mlruns/40/e46d617a57bc4c33b0aa1641c9dbcc0a/artifacts,2026-02-01 01:14:37.641000+00:00,2026-02-01 01:19:59.496000+00:00,0.8922628238119746,0.6951531901985237,0.7660867906202303,0.853763440860215,0.6100108218052858,0.8158256093374529,0.8655723158828749,0.636518363690654,0.7355904211395541,0.8456491173254179,0.8682899833978971,0.8545816733067729,0.8956066945606694,0.7821380243572396,0.021572784520685673,0.7775735294117647,0.25678811222314835,0.7592920353982301,0.9336968375136314,0.8806575798564146,0.8869192013435342,0.7547407222190855,0.8344671201814059,0.98828125,0.634280257818095,0.8570188133140376,0.9262152777777778,0.7684743311641359,0.8030741450095032,0.9298569450853715,0.8740667545015371,0.8594795539033457,0.848314606741573,0.6072845759267026,0.5771842948472259,0.9314945822512761,0.6490096038415366,0.8137966804979253,0.8068636796949475,0.921875,camera8,0.001,20,Encoder1_Classifier,CNR,CrossEntropy,3x128x128,256,b5b8e8140be24f4111bf68ae6513c975a31b17d1,lucas.ocunha,train_classifier.py,Encoder1_Classifier_camera8_256,LOCAL
3a005ff1e4c244e49ccd1a92fa06fe9f,40,FINISHED,/home/lucas.ocunha/mlruns/40/3a005ff1e4c244e49ccd1a92fa06fe9f/artifacts,2026-02-01 01:09:12.464000+00:00,2026-02-01 01:14:34.745000+00:00,0.900990099009901,0.718571355524876,0.7454240090652606,0.8457757296466973,0.6357090416219574,0.8356849437399536,0.8743345164152617,0.6315691251119737,0.7592072667217176,0.854241524761756,0.8546612623045744,0.8493150684931506,0.9039045553145336,0.813022917424518,0.007896464201621711,0.8067892503536068,0.07663173601031303,0.7901960784313725,0.926,0.8795506103489251,0.8920026689543418,0.7624417915502497,0.8378684807256236,1.0,0.6651041666666667,0.8594244387524484,0.9226466049382716,0.7779469996954006,0.7614194495691208,0.9231656668204892,0.8775801493192797,0.8641020684322444,0.8589486356340289,0.6044289847638435,0.5712489395224821,0.9270511187920684,0.676124295872195,0.834841628959276,0.8323451236965855,0.96875,camera8,0.001,20,Encoder1_Classifier,CNR,CrossEntropy,3x128x128,128,b5b8e8140be24f4111bf68ae6513c975a31b17d1,lucas.ocunha,train_classifier.py,Encoder1_Classifier_camera8_128,LOCAL
37324b95e70745019f72fbda14c67b02,40,FINISHED,/home/lucas.ocunha/mlruns/40/37324b95e70745019f72fbda14c67b02/artifacts,2026-02-01 01:03:55.388000+00:00,2026-02-01 01:09:09.428000+00:00,0.8236730706610225,0.6481004594942068,0.7187341011054068,0.776036866359447,0.5896773054564255,0.7657520325203252,0.8054569653948536,0.6299417736637802,0.7042113955408753,0.8206530229651617,0.8060654429369514,0.7992164544564153,0.8342474101157831,0.6919345057610673,0.01710943877696991,0.7533713692946058,0.17356768250465393,0.7010309278350515,0.8819929131321809,0.8382215773655302,0.837532419414598,0.7388353886382848,0.7675736961451247,1.0,0.6137746410318813,0.8350100603621731,0.8686342592592593,0.737966349670812,0.7742543200252426,0.8732118135671435,0.8286122090469916,0.7976232086682978,0.7676565008025682,0.563783075068416,0.5837068619948252,0.8813588850174217,0.6183973589435774,0.7308248914616498,0.7654741624077229,0.96875,camera8,0.001,20,Encoder1_Classifier,CNR,CrossEntropy,3x128x128,64,b5b8e8140be24f4111bf68ae6513c975a31b17d1,lucas.ocunha,train_classifier.py,Encoder1_Classifier_camera8_64,LOCAL
